data1,data2,output
0.160594098,0.482601616,1
1.198439996,-0.542104395,0
-0.618906853,0.728516577,0
1.070838764,-0.340617317,0
0.843196418,-0.502865067,0
-0.190621439,0.335309628,1
0.849006044,0.60744517,0
0.215817734,0.010223077,1
-0.085236107,0.412650025,1
0.844572433,0.46268304,0
-0.857125172,-0.321923088,0
-0.37900649,-0.049561376,1
0.527754463,0.094912283,1
0.280186927,0.396117593,1
0.335825844,-0.925935118,0
-0.089636253,0.453283435,1
0.749823615,0.722041027,0
0.416774748,-0.091056234,1
-0.248569523,0.233718804,1
-0.399812347,-0.163473682,1
0.253540914,0.037965507,1
-0.801974266,0.199582339,0
0.887129073,-0.458710591,0
0.30202066,-0.058147981,1
0.888311035,-0.097209241,0
0.548312657,-0.072439569,1
-0.874401076,0.651053642,0
-0.157387508,-0.36081023,1
-0.110313393,0.226380879,1
-0.083465841,-0.441040686,1
0.978741048,0.468679553,0
-1.093289053,-0.149378732,0
0.907657228,-0.541910969,0
0.8645282,-0.041062312,0
-0.073360832,-0.341509736,1
-0.589496433,-1.055122266,0
0.448293558,0.373947257,1
0.980875128,0.45801128,0
0.298968656,-1.014095528,0
-0.12831872,0.272282012,1
0.209599536,0.330966591,1
1.084608811,-0.08340571,0
-0.311073772,-0.397893548,1
-0.395642281,0.993530525,0
0.266300038,-0.186197888,1
1.030525079,-0.015468454,0
0.78513139,-0.207549612,0
-0.521567131,-1.00224541,0
-0.670077661,0.750724273,0
-1.101424397,0.171290475,0
0.080667767,-0.885109611,0
-0.06782745,-0.33233917,1
1.027083224,0.107264796,0
-0.429197054,-0.202989829,1
-0.654498628,-0.708729851,0
-0.202660766,-0.003442068,1
-0.7014658,-0.567262184,0
0.251016165,-0.061113898,1
-1.100960615,-0.019544454,0
-0.946215023,-0.444978545,0
0.118413037,1.259113913,0
-0.542539465,-0.226466627,1
-0.108435614,0.301170629,1
0.797996158,0.150009601,0
-0.002230131,1.037639791,0
-0.352988526,-0.364938578,1
-0.922657526,-0.402492588,0
0.248006378,-0.146084469,1
-0.084921287,0.441041783,1
-0.76056558,-0.195351473,0
0.401306638,0.222533244,1
0.476955651,0.789916242,0
-0.095865136,-1.002159653,0
-0.872619336,-0.352835279,0
-0.886322666,-0.361161043,0
-0.206088795,-0.255499711,1
0.278644089,0.990078807,0
-0.251689688,0.388128202,1
-0.097439803,-0.293685748,1
-0.826709715,0.771054704,0
0.121562682,-0.424623217,1
0.400397988,1.038485852,0
0.466991383,0.191072223,1
0.167964285,-0.956920038,0
0.080050655,0.455560158,1
-0.814899452,-0.832252998,0
-0.525008476,-0.879663909,0
-0.724946504,-0.549133064,0
0.137904892,-0.492820377,1
-0.374540204,-0.138378965,1
-0.3765679,-0.011870721,1
-0.287587001,-0.245580804,1
0.273119025,-0.24751055,1
0.187920393,0.893214843,0
-0.633237662,-0.864510281,0
0.157645296,-0.997823014,0
0.19816609,-0.286059914,1
-0.318706398,-0.158207349,1
-0.311658082,-0.086834522,1
-0.306127561,0.024791367,1
0.624526955,0.786444793,0
0.268777386,0.035213816,1
0.989137496,-0.275864718,0
-0.505351329,-0.286469728,1
-0.109420749,0.326086276,1
-0.979521911,0.516836026,0
-0.604739085,0.845721319,0
-0.293541045,-0.081721484,1
0.253810743,-0.404608379,1
-1.143583126,0.147596441,0
0.425938544,0.207855313,1
-0.246804352,0.20908393,1
0.257491231,-0.950793711,0
0.208172518,0.941425962,0
-0.073453474,-0.315251655,1
0.399482523,-0.885371104,0
-0.240993675,-0.120516662,1
0.567530209,0.875068087,0
-1.067997258,0.217687163,0
0.394749405,-0.642009365,0
-0.364808906,0.255436833,1
0.63568789,-0.949040717,0
-0.492073816,-0.190477391,1
0.263590635,0.404285025,1
-0.473868494,-0.904715345,0
0.795049029,-0.470011277,0
-0.589147363,-1.014595948,0
0.35145542,-0.837132541,0
0.147754112,-0.325201972,1
0.046189672,1.049371183,0
-0.124583196,0.505362381,1
-0.850485178,-0.749217353,0
0.799476444,0.673919468,0
0.354801968,0.412908722,1
-0.120663331,-0.384947943,1
0.416407066,-0.165662031,1
0.753104653,0.098298334,0
-0.146002948,0.29121042,1
-0.431905429,1.157706217,0
0.031703746,-0.385628668,1
0.857940332,0.087746995,0
-0.463336193,-0.035136761,1
-0.081241517,0.320639044,1
1.055190307,0.016105124,0
-0.330174714,-0.163973386,1
-0.224378026,0.328341651,1
0.387420911,0.327464208,1
0.290775579,0.940269965,0
-0.131387442,1.115597204,0
0.96112704,-0.35000203,0
0.058100274,0.408495547,1
0.019336093,0.51450078,1
-0.019686589,-0.848650948,0
-0.177640411,-0.478839476,1
0.396280784,0.037349798,1
-0.287115933,0.2171618,1
0.464728815,0.165121485,1
0.880391238,-0.020757757,0
0.335396309,0.42842099,1
0.712285777,-0.801704852,0
1.104739678,0.106490777,0
0.668601086,-0.813957669,0
-0.452044216,0.04817031,1
0.635562464,0.74030707,0
-0.835717317,0.498166081,0
1.065495304,0.18201066,0
0.255477286,-0.288278002,1
0.063006798,-0.390186927,1
-0.241498482,-0.191841728,1
-0.797955459,0.283729156,0
0.264942254,0.8523201,0
0.370623945,-0.267215623,1
-0.525229107,0.231141238,1
-0.224088032,0.297265493,1
0.929070737,0.315092197,0
1.092017535,0.410819391,0
-1.164661947,-0.15950601,0
0.147432816,-0.496782679,1
0.87187387,-0.406398518,0
0.101313326,0.406886258,1
-0.187925233,-0.244358317,1
-0.739852818,-0.791218769,0
0.344224105,0.208438258,1
0.365798106,-0.926678154,0
0.280508519,0.320935013,1
-0.343929566,-0.22791637,1
0.642565202,0.515725657,0
-0.317585973,-0.032057464,1
-1.079326275,0.045797727,0
0.574684534,0.796538292,0
-0.290315594,-0.397416245,1
-0.885795389,-0.526603297,0
0.775568408,-0.858496111,0
-0.733577685,-0.507319332,0
-0.455224015,-0.380094828,1
0.83827873,-0.468123716,0
0.163155146,1.012726337,0
-0.793057183,-0.709664609,0
0.262121456,0.97795302,0
0.108024536,-1.188307056,0
0.519367617,0.075860243,1
0.053103937,-0.297422726,1
1.135385538,0.391761263,0
0.06054448,-0.952449669,0
0.185700547,-0.333579994,1
0.832997206,0.495828554,0
-0.346696683,-0.159067148,1
0.847217475,0.649665243,0
-0.330118033,-0.225641851,1
1.039227355,0.371326441,0
-0.561381191,-0.816409096,0
-0.267296642,-0.288064427,1
-0.265170118,0.091824402,1
0.457763314,-0.118234586,1
0.248207937,0.179570685,1
-0.437667913,-0.175304318,1
-0.201297475,0.221562112,1
-0.250976574,0.429664976,1
-0.473420812,0.025828069,1
-0.890303523,-0.277763773,0
-0.407396239,-0.202797306,1
0.037487696,0.484565871,1
-0.312377687,-0.390452557,1
-0.01761278,1.139355761,0
0.146585397,-0.182448945,1
0.533673525,-1.013617841,0
-0.369770038,-0.174147294,1
-0.215049959,-0.071156616,1
-0.6686608,-1.053142754,0
0.46806484,0.004904054,1
0.508484364,1.054911127,0
0.885547603,0.436637774,0
0.244284956,0.382035816,1
-0.179816466,0.504232055,1
0.686407846,-0.831839571,0
0.240200318,-0.070201872,1
0.192175921,0.961564235,0
-0.96895759,-0.28776223,0
-0.22116425,0.445969041,1
-0.21166665,-0.478656845,1
-0.291951929,-0.240599421,1
-0.375208039,-0.99013188,0
0.94936653,0.157853766,0
0.756274633,-0.392846603,0
-0.149359593,1.11372227,0
-0.298938201,0.840552205,0
0.077223352,0.289819417,1
-0.776966989,-0.560844863,0
-0.985787217,-0.458962644,0
0.859999019,-0.267320744,0
-0.339009932,-0.161182488,1
1.07224214,-0.044727514,0
0.371121594,-0.185680508,1
-0.066934184,0.203178478,1
0.617172807,-0.679375258,0
-0.532865146,-0.231028735,1
0.066815189,-0.971024841,0
0.651993293,-0.091914833,1
0.832760057,-0.757840804,0
-0.377765391,-0.915660514,0
1.219756409,-0.376380704,0
-0.431857867,0.213729463,1
0.230817142,-0.382813993,1
-0.88852662,0.170908343,0
0.124252846,1.014693388,0
0.094862162,0.13737131,1
-0.191687041,-0.331843658,1
0.984049933,0.088423427,0
-0.119145559,-1.014900693,0
-0.292495107,0.864293306,0
0.559667759,-0.810748028,0
0.329815668,-0.441129645,1
0.381860286,-0.260652794,1
-0.238328257,-0.645374215,1
0.462374899,0.869498706,0
0.235113457,0.34533854,1
-0.400623409,-0.071695496,1
-0.314681934,0.764908378,0
-0.370997251,-0.04063038,1
0.287206513,0.248853205,1
-0.45939648,0.158176997,1
1.189741651,0.19416651,0
-0.073622474,-0.43624728,1
0.25464292,-0.00258919,1
0.407732384,-0.188240834,1
-0.156649102,0.24526568,1
-0.462612862,-0.895390045,0
-0.855382745,0.489966866,0
-0.948937373,-0.405135299,0
0.724520624,-0.596120627,0
0.241181914,0.290459324,1
-0.282788368,0.099038882,1
-0.059722649,-0.283769521,1
-1.088977539,0.377651956,0
-0.535231492,-0.241582478,1
-0.197080931,0.45539607,1
-0.481750373,-0.032225293,1
0.100528667,0.423331368,1
-0.187825123,1.160188279,0
-0.376856444,-0.056521741,1
-0.436841737,0.093824992,1
-0.093863743,1.070506434,0
-0.313031839,0.209575738,1
-0.490652972,-0.918964849,0
0.949891961,0.151352044,0
0.370972419,0.332585031,1
-0.079041614,-0.622516849,1
-0.333065252,0.28164051,1
0.136570616,1.063837836,0
0.217411866,0.325131701,1
0.216833899,-0.389850624,1
-0.392181279,-0.062993386,1
-0.124380403,-0.328513162,1
-0.323854134,0.50488667,1
0.743785814,0.732725284,0
-0.239677256,0.337014243,1
1.053423132,-0.292744102,0
-0.213942898,0.376461729,1
-0.331291643,-0.021239311,1
0.29383868,0.398161511,1
-0.420405394,-0.142582757,1
0.503387599,-0.65840964,0
0.185917603,0.30607587,1
-0.09854164,-0.3127582,1
-0.152634882,0.513573369,1
-0.215331782,0.189720902,1
0.545216489,-0.929097787,0
-0.389638304,-0.249313931,1
-0.316809276,-0.139926598,1
1.006541903,-0.398561243,0
-0.548294003,0.801662973,0
0.51030715,-0.950326209,0
-0.4653216,0.843682735,0
-0.785887061,0.384388689,0
-0.090749021,-0.209841874,1
0.984344638,-0.570706728,0
0.348900655,-0.924058436,0
-0.248214451,-0.188934222,1
0.161918682,0.370030801,1
0.91900164,-0.192533446,0
0.269795888,-0.04834514,1
-0.339002487,-0.308513983,1
1.002401788,-0.357291626,0
-0.249300234,-0.078954932,1
-0.310512058,-0.333317495,1
-0.372727472,0.971548414,0
1.009126161,-0.293814569,0
-0.422534336,-0.309043095,1
-0.160711487,0.355905881,1
0.151098071,0.342593908,1
-0.385055885,-0.151044159,1
-0.140322998,-1.049605359,0
0.975838375,0.415564751,0
-0.49950371,0.817974952,0
-0.084488274,-0.430817233,1
1.065988174,-0.15152621,0
0.31454289,0.198606453,1
0.32862158,-0.795163875,0
0.205408541,-0.408047869,1
-0.992873048,0.226316221,0
-0.2585148,-0.818072164,0
0.433161687,0.193143785,1
0.822611802,-0.209314295,0
-0.390825464,-0.000140009,1
0.283308292,0.233352885,1
-0.295416585,-0.019490762,1
-0.528227382,-0.0246029,1
0.06591532,-0.302647559,1
0.98211107,0.001902134,0
-0.753612062,0.743468992,0
-1.129963655,-0.469296662,0
-0.371745594,0.068433686,1
-0.872380209,-0.500542981,0
0.048994513,1.043207411,0
-0.796564431,-0.612702213,0
