Level,Salary
7,24559
4,23478
8,47337
2,22385
5,38470
6,22798
8,74323
8,29132
3,16955
2,12312
4,38064
6,27939
9,58206
10,87875
7,28775
8,68469
8,53626
10,80124
8,51338
4,38003
3,13670
6,28710
1,12075
5,51477
7,52512
5,34411
7,54371
8,48436
2,16091
5,20812
6,58101
1,7125
3,22865
8,29678
9,43271
2,20219
2,19277
2,23305
8,58179
7,72317
6,23636
9,43931
5,49178
3,30832
2,11522
4,20820
5,47531
10,63466
7,67903
4,32340
8,32998
3,21532
1,9999
8,52994
1,11230
10,50044
2,17868
1,13914
6,25766
4,28541
4,44674
1,9197
5,30734
5,39708
10,71297
1,11160
4,18600
2,15205
9,92498
2,8115
7,64788
2,15395
9,83402
9,46674
2,22816
6,51376
7,29494
6,26904
1,10972
9,65279
8,36474
8,51233
3,28410
6,47113
4,42989
3,18502
6,50544
10,93786
4,40637
10,48362
7,38521
1,7411
9,64054
4,43420
5,24240
3,29746
6,54608
3,24635
4,29304
1,4251
3,31428
4,28919
3,17551
2,13096
3,15134
6,40925
2,19764
3,25075
9,52939
2,12371
2,21953
8,64904
1,12906
2,10432
2,12759
10,60403
5,47487
6,45594
3,13516
4,25914
8,28610
6,53407
6,26558
9,79743
8,79637
7,24907
2,22131
6,34756
5,47950
4,28283
1,12511
2,23578
2,21946
2,24130
6,59996
4,41737
3,19395
2,11973
3,28041
7,52952
8,81455
1,6183
9,72625
3,19652
4,27981
1,11161
7,63027
1,13982
4,27740
4,39291
8,64345
1,12082
8,30064
6,60670
10,90021
1,5508
3,23888
4,33819
10,85976
5,46170
7,57408
1,5787
8,40645
4,37502
3,18968
2,19678
5,24271
2,19986
2,9015
3,15087
10,41387
3,17244
8,32094
6,35099
7,64617
10,57137
4,23725
1,10480
3,17555
2,15766
9,47558
2,18448
3,18657
3,16377
4,41007
3,19728
8,77629
4,42400
5,25206
7,65374
5,44907
10,94575
3,26277
2,10499
7,27661
5,32392
4,37126
3,23548
1,10645
8,49905
3,15144
9,85827
4,22539
7,25924
8,69648
5,18309
2,22883
2,21821
5,40980
7,32549
6,37594
3,30218
2,8754
7,25188
10,55208
1,6472
4,18826
1,12763
8,61428
4,27073
10,66879
1,8565
4,15130
10,95357
9,68159
6,37947
7,41306
3,19552
2,12417
10,92944
4,39972
5,39939
6,30866
2,17940
1,7123
4,42209
2,11641
8,78001
3,25195
2,7839
3,16937
9,74364
9,32760
3,16667
5,37904
9,87324
8,38438
4,36324
2,23346
6,30489
8,67254
5,41357
3,13127
1,10828
10,65418
7,73247
10,104462
5,31623
1,10596
2,18452
7,34141
5,41145
4,33926
3,24499
4,35355
9,36976
7,36124
7,59213
6,44378
4,36592
10,65039
8,29368
8,43863
6,56214
10,93635
1,11135
10,54749
9,88140
7,53209
1,7664
9,32483
10,54501
10,34514
1,10947
10,69060
3,21628
1,8023
8,44743
1,9753
3,14742
6,52020
7,38521
6,54579
5,46502
1,8143
4,34175
1,9397
8,65188
5,32901
2,10418
5,35011
7,25920
9,42627
6,59631
10,41392
7,46787
10,96382
10,102704
10,93990
5,19992
2,20470
9,88289
5,44338
9,43334
4,18966
8,79306
10,95261
2,9431
2,16096
7,64568
3,20662
7,39186
8,55934
10,47525
3,14124
8,32907
9,54951
4,26961
2,12139
4,42613
8,58770
3,24585
1,11180
2,14903
7,53734
10,57964
3,24129
1,8556
3,15466
4,22237
5,45253
3,16332
10,42745
9,53721
4,29124
3,29149
1,10514
10,45443
8,35911
8,32772
9,58133
9,68571
9,51068
9,85682
5,16621
4,30078
2,14958
2,12303
6,51298
8,52701
7,31329
5,35208
1,8302
8,62973
5,43208
3,29952
1,7431
8,47237
4,29423
9,87961
10,53818
2,18370
4,32599
8,43432
5,47882
9,52265
4,26874
4,26229
4,37232
2,19029
2,23350
6,38186
2,12429
5,38058
10,63017
4,31744
7,42602
9,65551
10,70189
2,10130
8,36929
4,35686
9,89248
4,14131
1,7946
7,43788
1,8989
6,45737
7,31390
7,51415
7,58680
6,53464
2,22255
7,28024
8,29728
3,21829
6,33646
4,42474
1,12270
4,27254
7,29355
6,31929
8,61949
2,12164
5,43813
1,4710
3,26885
8,35584
5,43398
6,44905
6,25981
3,31223
10,62082
5,38895
10,55761
7,63278
5,35950
2,8730
6,28738
1,4458
5,45928
7,38040
2,11819
5,23411
5,49064
4,22512
4,30275
6,45063
9,41673
5,33129
7,55246
5,19333
4,43463
7,70867
7,48418
1,10330
4,28785
8,63167
3,23993
2,14775
6,24422
8,48883
3,15354
2,21853
1,11660
4,32148
6,29997
2,10540
1,8888
9,85220
10,85135
5,45008
10,94616
7,25130
2,15731
2,10244
1,13654
8,30751
1,13049
5,45521
5,19917
5,20810
10,53619
5,19006
10,61959
2,21715
10,64561
5,24214
5,51598
3,22649
2,15967
10,50340
2,17021
9,75372
5,24376
8,27585
3,19841
4,25684
5,53981
6,34345
9,70417
9,29713
9,82358
2,9317
5,22699
5,39996
4,32554
8,50556
5,21335
8,58294
